,0
158,"[-0.35396664210901824, -0.07073517032000064, 0.19405748742182127], [0.9509205091486502 + 0.16111182401170945*i + -0.23623865423887455*j + 0.11825592453444944*k]"
159,"[-0.35645887557785916, -0.07138546699126147, 0.1935336941400066], [0.9505465506703623 + 0.1626968545877347*i + -0.2360633878135113*j + 0.11943644941952107*k]"
160,"[-0.35895110904670013, -0.0720357636625223, 0.19300990085819195], [0.9501687172660624 + 0.16428122192609582*i + -0.23588715907003616*j + 0.12061648741901694*k]"
161,"[-0.36136858678567707, -0.07268763187339897, 0.19242058844206011], [0.9497054175034414 + 0.16581998191760444*i + -0.23604462730419404*j + 0.12184534247267499*k]"
162,"[-0.363786064524654, -0.07333950008427563, 0.19183127602592825], [0.9492382075092373 + 0.16735805917684843*i + -0.23620112366945478*j + 0.12307369585128979*k]"
163,"[-0.3662348107340323, -0.07388812013203498, 0.19124557371430412], [0.9487954731057957 + 0.1689076468468213*i + -0.23622868080401827*j + 0.12431157394310449*k]"
164,"[-0.36868355694341065, -0.07443674017979433, 0.19065987140267995], [0.9483488198570551 + 0.17045653687124618*i + -0.2362552622344585*j + 0.12554893858619295*k]"
165,"[-0.37110128514473684, -0.07504108768997449, 0.19001674425305012], [0.9478721698965501 + 0.17196883251789358*i + -0.23641958129191518*j + 0.12677086321309744*k]"
166,"[-0.373519013346063, -0.07564543520015464, 0.1893736171034203], [0.9473916959032608 + 0.1734804343848581*i + -0.2365829465538513*j + 0.12799227640401675*k]"
167,"[-0.37588803601138665, -0.07616930678601698, 0.18871088949950238], [0.9468820387042325 + 0.1749725877215213*i + -0.23682748046848878*j + 0.1292739061848846*k]"
168,"[-0.37825705867671033, -0.07669317837187932, 0.18804816189558446], [0.946368415353651 + 0.17646400816034485*i + -0.23707102239717545*j + 0.13055499448341054*k]"
